Date,Power (kW)
2019-01-07 20:00:00,145.896
2019-01-07 21:00:00,131.884
2019-01-07 22:00:00,130.357
2019-01-07 23:00:00,126.492
2019-01-08 00:00:00,122.137
2019-01-08 01:00:00,122.835
2019-01-08 02:00:00,122.673
2019-01-08 03:00:00,118.732
2019-01-08 04:00:00,120.067
2019-01-08 05:00:00,123.055
2019-01-08 06:00:00,140.78
2019-01-08 07:00:00,177.544
2019-01-08 08:00:00,263.415
2019-01-08 09:00:00,278.269
2019-01-08 10:00:00,310.658
2019-01-08 11:00:00,293.083
2019-01-08 12:00:00,307.136
2019-01-08 13:00:00,305.65
2019-01-08 14:00:00,316.785
2019-01-08 15:00:00,313.347
2019-01-08 16:00:00,302.432
2019-01-08 17:00:00,289.547
2019-01-08 18:00:00,255.541
2019-01-08 19:00:00,201.737
2019-01-08 20:00:00,145.56
2019-01-08 21:00:00,128.782
2019-01-08 22:00:00,118.971
2019-01-08 23:00:00,117.392
2019-01-09 00:00:00,96.865
2019-01-09 01:00:00,96.839
2019-01-09 02:00:00,98.935
2019-01-09 03:00:00,97.448
2019-01-09 04:00:00,96.343
2019-01-09 05:00:00,96.174
2019-01-09 06:00:00,97.545
2019-01-09 07:00:00,96.695
2019-01-09 08:00:00,94.96
2019-01-09 09:00:00,98.181
2019-01-09 10:00:00,95.761
2019-01-09 11:00:00,97.662
2019-01-09 12:00:00,102.3
2019-01-09 13:00:00,117.008
2019-01-09 14:00:00,108.064
2019-01-09 15:00:00,122.499
2019-01-09 16:00:00,129.808
2019-01-09 17:00:00,125.284
2019-01-09 18:00:00,125.595
2019-01-09 19:00:00,124.238
2019-01-09 20:00:00,119.258
2019-01-09 21:00:00,107.077
2019-01-09 22:00:00,110.955
2019-01-09 23:00:00,99.084
2019-01-10 00:00:00,127.259
2019-01-10 01:00:00,127.199
2019-01-10 02:00:00,116.927
2019-01-10 03:00:00,117.386
2019-01-10 04:00:00,121.884
2019-01-10 05:00:00,126.139
2019-01-10 06:00:00,134.908
2019-01-10 07:00:00,171.391
2019-01-10 08:00:00,266.523
2019-01-10 09:00:00,301.757
2019-01-10 10:00:00,346.735
2019-01-10 11:00:00,331.735
2019-01-10 12:00:00,367.954
2019-01-10 13:00:00,383.813
2019-01-10 14:00:00,373.677
2019-01-10 15:00:00,365.036
2019-01-10 16:00:00,351.744
2019-01-10 17:00:00,329.175
2019-01-10 18:00:00,282.849
2019-01-10 19:00:00,240.621
2019-01-10 20:00:00,168.257
2019-01-10 21:00:00,155.27
2019-01-10 22:00:00,155.526
2019-01-10 23:00:00,137.314
2019-01-11 00:00:00,102.911
2019-01-11 01:00:00,97.554
2019-01-11 02:00:00,96.234
2019-01-11 03:00:00,96.263
2019-01-11 04:00:00,91.747
2019-01-11 05:00:00,92.309
2019-01-11 06:00:00,89.982
2019-01-11 07:00:00,125.566
2019-01-11 08:00:00,168.566
2019-01-11 09:00:00,168.643
2019-01-11 10:00:00,153.854
2019-01-11 11:00:00,159.159
2019-01-11 12:00:00,158.965
2019-01-11 13:00:00,161.22
2019-01-11 14:00:00,161.934
2019-01-11 15:00:00,165.506
2019-01-11 16:00:00,169.565
2019-01-11 17:00:00,176.698
2019-01-11 18:00:00,171.967
2019-01-11 19:00:00,143.756
2019-01-11 20:00:00,111.605
2019-01-11 21:00:00,105.788
2019-01-11 22:00:00,102.616
2019-01-11 23:00:00,104.85
2019-01-12 00:00:00,114.262
2019-01-12 01:00:00,111.776
2019-01-12 02:00:00,111.02
2019-01-12 03:00:00,109.27
2019-01-12 04:00:00,108.817
2019-01-12 05:00:00,107.64
2019-01-12 06:00:00,106.621
2019-01-12 07:00:00,108.586
2019-01-12 08:00:00,109.212
2019-01-12 09:00:00,109.494
2019-01-12 10:00:00,112.716
2019-01-12 11:00:00,116.338
2019-01-12 12:00:00,117.971
2019-01-12 13:00:00,115.515
2019-01-12 14:00:00,116.242
2019-01-12 15:00:00,119.955
2019-01-12 16:00:00,123.11
2019-01-12 17:00:00,128.372
2019-01-12 18:00:00,127.309
2019-01-12 19:00:00,122.176
2019-01-12 20:00:00,119.395
2019-01-12 21:00:00,118.189
2019-01-12 22:00:00,117.172
2019-01-12 23:00:00,116.052
2019-01-13 00:00:00,137.483
2019-01-13 01:00:00,132.625
2019-01-13 02:00:00,128.695
2019-01-13 03:00:00,127.6
2019-01-13 04:00:00,124.443
2019-01-13 05:00:00,124.07
2019-01-13 06:00:00,119.508
2019-01-13 07:00:00,118.596
2019-01-13 08:00:00,116.86
2019-01-13 09:00:00,121.667
2019-01-13 10:00:00,122.789
2019-01-13 11:00:00,127.549
2019-01-13 12:00:00,138.785
2019-01-13 13:00:00,140.351
2019-01-13 14:00:00,141.106
2019-01-13 15:00:00,144.205
2019-01-13 16:00:00,152.382
2019-01-13 17:00:00,162.601
2019-01-13 18:00:00,166.85
2019-01-13 19:00:00,159.999
2019-01-13 20:00:00,150.192
2019-01-13 21:00:00,145.598
2019-01-13 22:00:00,143.722
2019-01-13 23:00:00,142.572
2019-01-14 00:00:00,139.842
2019-01-14 01:00:00,137.919
2019-01-14 02:00:00,140.603
2019-01-14 03:00:00,127.857
2019-01-14 04:00:00,128.729
2019-01-14 05:00:00,127.452
2019-01-14 06:00:00,147.843
2019-01-14 07:00:00,251.777
2019-01-14 08:00:00,394.32
2019-01-14 09:00:00,474.11
2019-01-14 10:00:00,521.171
2019-01-14 11:00:00,544.982
2019-01-14 12:00:00,551.888
2019-01-14 13:00:00,540.135
2019-01-14 14:00:00,537.895
2019-01-14 15:00:00,517.332
2019-01-14 16:00:00,479.467
2019-01-14 17:00:00,451.596
2019-01-14 18:00:00,376.929
2019-01-14 19:00:00,295.314
2019-01-14 20:00:00,246.683
2019-01-14 21:00:00,203.881
2019-01-14 22:00:00,174.743
2019-01-14 23:00:00,171.538
2019-01-15 00:00:00,165.329
2019-01-15 01:00:00,156.435
2019-01-15 02:00:00,154.836
2019-01-15 03:00:00,151.873
2019-01-15 04:00:00,146.083
2019-01-15 05:00:00,145.421
2019-01-15 06:00:00,165.512
2019-01-15 07:00:00,259.655
2019-01-15 08:00:00,399.863
2019-01-15 09:00:00,442.824
2019-01-15 10:00:00,494.307
2019-01-15 11:00:00,515.217
2019-01-15 12:00:00,533.099
2019-01-15 13:00:00,525.386
2019-01-15 14:00:00,538.799
2019-01-15 15:00:00,536.024
2019-01-15 16:00:00,500.495
2019-01-15 17:00:00,480.432
2019-01-15 18:00:00,403.49
2019-01-15 19:00:00,303.201
2019-01-15 20:00:00,263.852
2019-01-15 21:00:00,204.972
2019-01-15 22:00:00,198.914
2019-01-15 23:00:00,193.066
2019-01-16 00:00:00,182.062
2019-01-16 01:00:00,155.694
2019-01-16 02:00:00,149.643
2019-01-16 03:00:00,149.31
2019-01-16 04:00:00,145.677
2019-01-16 05:00:00,148.478
2019-01-16 06:00:00,165.529
2019-01-16 07:00:00,256.872
2019-01-16 08:00:00,387.257
2019-01-16 09:00:00,469.006
2019-01-16 10:00:00,528.6
2019-01-16 11:00:00,560.155
2019-01-16 12:00:00,574.579
2019-01-16 13:00:00,547.69
2019-01-16 14:00:00,509.818
2019-01-16 15:00:00,493.174
2019-01-16 16:00:00,482.968
2019-01-16 17:00:00,461.475
2019-01-16 18:00:00,387.582
2019-01-16 19:00:00,307.835
2019-01-16 20:00:00,245.753
2019-01-16 21:00:00,166.989
2019-01-16 22:00:00,156.185
2019-01-16 23:00:00,155.217
2019-01-17 00:00:00,155.314
2019-01-17 01:00:00,132.962
2019-01-17 02:00:00,126.899
2019-01-17 03:00:00,123.897
2019-01-17 04:00:00,123.417
2019-01-17 05:00:00,142.688
2019-01-17 06:00:00,151.522
2019-01-17 07:00:00,250.211
2019-01-17 08:00:00,382.617
2019-01-17 09:00:00,429.085
2019-01-17 10:00:00,491.997
2019-01-17 11:00:00,530.34
2019-01-17 12:00:00,516.554
2019-01-17 13:00:00,476.548
2019-01-17 14:00:00,465.285
2019-01-17 15:00:00,460.181
2019-01-17 16:00:00,444.585
2019-01-17 17:00:00,421.533
2019-01-17 18:00:00,373.889
2019-01-17 19:00:00,286.09
2019-01-17 20:00:00,225.173
2019-01-17 21:00:00,170.369
2019-01-17 22:00:00,158.246
2019-01-17 23:00:00,162.064
2019-01-18 00:00:00,146.391
2019-01-18 01:00:00,144.878
2019-01-18 02:00:00,140.471
2019-01-18 03:00:00,133.18
2019-01-18 04:00:00,130.893
2019-01-18 05:00:00,153.011
2019-01-18 06:00:00,174.167
2019-01-18 07:00:00,264.254
2019-01-18 08:00:00,405.006
2019-01-18 09:00:00,471.908
2019-01-18 10:00:00,512.012
2019-01-18 11:00:00,531.044
2019-01-18 12:00:00,506.141
2019-01-18 13:00:00,445.915
2019-01-18 14:00:00,447.834
2019-01-18 15:00:00,455.455
2019-01-18 16:00:00,442.103
2019-01-18 17:00:00,397.73
2019-01-18 18:00:00,330.791
2019-01-18 19:00:00,249.614
2019-01-18 20:00:00,193.628
2019-01-18 21:00:00,154.897
2019-01-18 22:00:00,145.359
2019-01-18 23:00:00,145.767
2019-01-19 00:00:00,145.769
2019-01-19 01:00:00,146.15
2019-01-19 02:00:00,137.722
2019-01-19 03:00:00,122.598
2019-01-19 04:00:00,122.908
2019-01-19 05:00:00,122.701
2019-01-19 06:00:00,122.788
2019-01-19 07:00:00,141.299
2019-01-19 08:00:00,147.634
2019-01-19 09:00:00,161.4
2019-01-19 10:00:00,169.489
2019-01-19 11:00:00,174.693
2019-01-19 12:00:00,180.824
2019-01-19 13:00:00,181.144
2019-01-19 14:00:00,183.614
2019-01-19 15:00:00,194.268
2019-01-19 16:00:00,189.6
2019-01-19 17:00:00,184.726
2019-01-19 18:00:00,179.948
2019-01-19 19:00:00,173.631
2019-01-19 20:00:00,162.929
2019-01-19 21:00:00,158.824
2019-01-19 22:00:00,159.064
2019-01-19 23:00:00,154.318
2019-01-20 00:00:00,148.172
2019-01-20 01:00:00,143.471
2019-01-20 02:00:00,138.85
2019-01-20 03:00:00,133.558
2019-01-20 04:00:00,129.306
2019-01-20 05:00:00,119.381
2019-01-20 06:00:00,118.108
2019-01-20 07:00:00,122.25
2019-01-20 08:00:00,119.109
2019-01-20 09:00:00,119.682
2019-01-20 10:00:00,128.665
2019-01-20 11:00:00,128.997
2019-01-20 12:00:00,131.816
2019-01-20 13:00:00,133.039
2019-01-20 14:00:00,142.653
2019-01-20 15:00:00,153.257
2019-01-20 16:00:00,155.776
2019-01-20 17:00:00,154.711
2019-01-20 18:00:00,160.315
2019-01-20 19:00:00,156.069
2019-01-20 20:00:00,149.466
2019-01-20 21:00:00,146.081
2019-01-20 22:00:00,147.965
2019-01-20 23:00:00,144.132
2019-01-21 00:00:00,134.748
2019-01-21 01:00:00,137.324
2019-01-21 02:00:00,136.904
2019-01-21 03:00:00,130.272
2019-01-21 04:00:00,127.095
2019-01-21 05:00:00,144.207
2019-01-21 06:00:00,161.03
2019-01-21 07:00:00,262.458
2019-01-21 08:00:00,411.142
2019-01-21 09:00:00,470.743
2019-01-21 10:00:00,515.885
2019-01-21 11:00:00,534.514
2019-01-21 12:00:00,519.51
2019-01-21 13:00:00,492.548
2019-01-21 14:00:00,480.175
2019-01-21 15:00:00,446.175
2019-01-21 16:00:00,429.142
2019-01-21 17:00:00,414.328
2019-01-21 18:00:00,384.327
2019-01-21 19:00:00,279.3
2019-01-21 20:00:00,216.963
2019-01-21 21:00:00,186.33
2019-01-21 22:00:00,151.286
2019-01-21 23:00:00,147.624
2019-01-22 00:00:00,142.532
2019-01-22 01:00:00,133.751
2019-01-22 02:00:00,132.442
2019-01-22 03:00:00,129.994
2019-01-22 04:00:00,130.963
2019-01-22 05:00:00,161.336
2019-01-22 06:00:00,180.553
2019-01-22 07:00:00,277.599
2019-01-22 08:00:00,410.478
2019-01-22 09:00:00,469.587
2019-01-22 10:00:00,494.996
2019-01-22 11:00:00,510.49
2019-01-22 12:00:00,511.509
2019-01-22 13:00:00,490.145
2019-01-22 14:00:00,509.521
2019-01-22 15:00:00,498.81
2019-01-22 16:00:00,447.902
2019-01-22 17:00:00,433.24
2019-01-22 18:00:00,363.686
2019-01-22 19:00:00,268.584
2019-01-22 20:00:00,233.746
2019-01-22 21:00:00,179.95
2019-01-22 22:00:00,145.017
2019-01-22 23:00:00,137.726
2019-01-23 00:00:00,137.359
2019-01-23 01:00:00,135.512
2019-01-23 02:00:00,132.674
2019-01-23 03:00:00,128.196
2019-01-23 04:00:00,136.716
2019-01-23 05:00:00,172.259
2019-01-23 06:00:00,179.828
2019-01-23 07:00:00,264.513
2019-01-23 08:00:00,385.182
2019-01-23 09:00:00,456.088
2019-01-23 10:00:00,496.038
2019-01-23 11:00:00,483.243
2019-01-23 12:00:00,464.043
2019-01-23 13:00:00,440.387
2019-01-23 14:00:00,452.277
2019-01-23 15:00:00,436.786
2019-01-23 16:00:00,447.395
2019-01-23 17:00:00,420.525
2019-01-23 18:00:00,331.771
2019-01-23 19:00:00,240.164
2019-01-23 20:00:00,196.378
2019-01-23 21:00:00,163.185
2019-01-23 22:00:00,142.013
2019-01-23 23:00:00,141.59
2019-01-24 00:00:00,134.55
2019-01-24 01:00:00,130.572
2019-01-24 02:00:00,130.617
2019-01-24 03:00:00,129.564
2019-01-24 04:00:00,131.193
2019-01-24 05:00:00,131.766
2019-01-24 06:00:00,168.741
2019-01-24 07:00:00,263.208
2019-01-24 08:00:00,390.118
2019-01-24 09:00:00,437.07
2019-01-24 10:00:00,445.516
2019-01-24 11:00:00,464.508
2019-01-24 12:00:00,461.882
2019-01-24 13:00:00,438.389
2019-01-24 14:00:00,419.694
2019-01-24 15:00:00,393.475
2019-01-24 16:00:00,409.562
2019-01-24 17:00:00,398.018
2019-01-24 18:00:00,328.971
2019-01-24 19:00:00,238.518
2019-01-24 20:00:00,201.384
2019-01-24 21:00:00,157.864
2019-01-24 22:00:00,138.682
2019-01-24 23:00:00,140.685
2019-01-25 00:00:00,137.209
2019-01-25 01:00:00,132.866
2019-01-25 02:00:00,127.981
2019-01-25 03:00:00,126.016
2019-01-25 04:00:00,123.587
2019-01-25 05:00:00,126.248
2019-01-25 06:00:00,170.062
2019-01-25 07:00:00,268.932
2019-01-25 08:00:00,407.888
2019-01-25 09:00:00,449.639
2019-01-25 10:00:00,443.137
2019-01-25 11:00:00,454.373
2019-01-25 12:00:00,467.928
2019-01-25 13:00:00,438.335
2019-01-25 14:00:00,441.474
2019-01-25 15:00:00,380.941
2019-01-25 16:00:00,369.374
2019-01-25 17:00:00,331.242
2019-01-25 18:00:00,283.734
2019-01-25 19:00:00,212.769
2019-01-25 20:00:00,165.304
2019-01-25 21:00:00,129.642
2019-01-25 22:00:00,126.758
2019-01-25 23:00:00,120.655
2019-01-26 00:00:00,118.68
